customer_id,first_name,last_name,email,phone,city
1,Neha,Verma,invalid_email,9321819600,Jaipur
2,Ananya,Agarwal,invalid_email,9863794026,Pune
3,Krishna,Mehta,krishna.mehta3@gmail.com,9559407816,Ahmedabad
4,Diya,Agarwal,diya.agarwal4@gmail.com,9310341316,Bengaluru
5,Aditya,Mehta,aditya.mehta5@gmail.com,9192832764,Jaipur
6,Neha,Mehta,neha.mehta6@gmail.com,9305641395,Hyderabad
7,Rahul,Joshi,rahul.joshi7@gmail.com,9884969653,Pune
8,Ananya,Joshi,,9122691669,Ahmedabad
9,Ananya,Sharma,ananya.sharma9@gmail.com,9845146270,Ahmedabad
10,Ananya,Patel,ananya.patel10@gmail.com,9489325288,Bengaluru
11,Priya,Sharma,priya.sharma11@gmail.com,9430391171,Pune
12,Aditya,Joshi,aditya.joshi12@gmail.com,9896383465,Hyderabad
13,Vivaan,Gupta,vivaan.gupta13@gmail.com,9983930103,Delhi
14,Diya,Mehta,diya.mehta14@gmail.com,9738299737,Jaipur
15,Vivaan,Verma,vivaan.verma15@gmail.com,9670106513,Hyderabad
16,Aditya,Jain,aditya.jain16@gmail.com,9178108013,Hyderabad
17,Priya,Gupta,priya.gupta17@gmail.com,9260647468,Hyderabad
18,Aditya,Gupta,aditya.gupta18@gmail.com,9980500978,Pune
19,Aarav,Kapoor,aarav.kapoor19@gmail.com,,Mumbai
20,Rahul,Agarwal,rahul.agarwal20@gmail.com,9435346247,Mumbai
21,Aarav,Joshi,aarav.joshi21@gmail.com,9118384251,Bengaluru
22,Arjun,Patel,arjun.patel22@gmail.com,9498084124,Mumbai
23,Pooja,Kapoor,pooja.kapoor23@gmail.com,9353487401,Ahmedabad
24,Aarav,Sharma,aarav.sharma24@gmail.com,9427868011,Pune
25,Ananya,Sharma,ananya.sharma25@gmail.com,9262045053,Mumbai
26,Rohan,Kapoor,rohan.kapoor26@gmail.com,9923226025,Chennai
27,Kavya,Gupta,kavya.gupta27@gmail.com,9160733754,Jaipur
28,Krishna,Sharma,krishna.sharma28@gmail.com,9414586850,Ahmedabad
29,Aditya,Agarwal,aditya.agarwal29@gmail.com,9196556981,Jaipur
30,Arjun,Sharma,,9835615951,Ahmedabad
31,Ananya,Singh,ananya.singh31@gmail.com,9482366299,Delhi
32,Arjun,Singh,arjun.singh32@gmail.com,9957773872,Ahmedabad
33,Ananya,Agarwal,ananya.agarwal33@gmail.com,9343320037,Mumbai
34,Priya,Jain,priya.jain34@gmail.com,9676320163,Hyderabad
35,Aarav,Kapoor,aarav.kapoor35@gmail.com,9727889579,Chennai
36,Diya,Kapoor,diya.kapoor36@gmail.com,9774348734,Ahmedabad
37,Krishna,Singh,krishna.singh37@gmail.com,9122362316,Hyderabad
38,Rahul,Sharma,rahul.sharma38@gmail.com,9909670546,Chennai
39,Ananya,Kapoor,ananya.kapoor39@gmail.com,9734670656,Hyderabad
40,Aditya,Agarwal,aditya.agarwal40@gmail.com,9990162720,Bengaluru
41,Krishna,Joshi,krishna.joshi41@gmail.com,9646417080,Bengaluru
42,Krishna,Verma,krishna.verma42@gmail.com,9033092327,Jaipur
43,Priya,Singh,priya.singh43@gmail.com,9912419049,Chennai
44,Rahul,Gupta,rahul.gupta44@gmail.com,9314919058,Bengaluru
45,Vivaan,Kapoor,,9671657262,Ahmedabad
46,Sneha,Kapoor,sneha.kapoor46@gmail.com,9945314737,Chennai
47,Rohan,Sharma,rohan.sharma47@gmail.com,,Jaipur
48,Vivaan,Gupta,vivaan.gupta48@gmail.com,9377701436,Ahmedabad
49,Neha,Agarwal,neha.agarwal49@gmail.com,9568557444,Jaipur
50,Rohan,Verma,rohan.verma50@gmail.com,9233749894,Jaipur
51,Arjun,Gupta,arjun.gupta51@gmail.com,9824008427,Delhi
52,Sneha,Singh,sneha.singh52@gmail.com,9204711671,Delhi
53,Aditya,Patel,aditya.patel53@gmail.com,9131869993,Chennai
54,Priya,Joshi,priya.joshi54@gmail.com,9649909133,Mumbai
55,Aditya,Gupta,aditya.gupta55@gmail.com,9067974034,Hyderabad
56,Vivaan,Gupta,vivaan.gupta56@gmail.com,9936183242,Pune
57,Kavya,Singh,kavya.singh57@gmail.com,9471746488,Mumbai
58,Sneha,Sharma,sneha.sharma58@gmail.com,9940139904,Pune
59,Priya,Kapoor,priya.kapoor59@gmail.com,9296717565,Mumbai
60,Diya,Patel,diya.patel60@gmail.com,9468071545,Chennai
61,Diya,Kapoor,,9876038597,Delhi
62,Krishna,Singh,krishna.singh62@gmail.com,,Chennai
63,Vivaan,Gupta,vivaan.gupta63@gmail.com,9712748467,Jaipur
64,Priya,Kapoor,priya.kapoor64@gmail.com,9982146584,Ahmedabad
65,Pooja,Singh,pooja.singh65@gmail.com,9727875588,Bengaluru
66,Diya,Gupta,diya.gupta66@gmail.com,9636057662,Delhi
67,Aditya,Kapoor,aditya.kapoor67@gmail.com,9171870262,Ahmedabad
68,Rohan,Agarwal,rohan.agarwal68@gmail.com,9586578091,Ahmedabad
69,Krishna,Verma,krishna.verma69@gmail.com,9172400504,Chennai
70,Aditya,Gupta,aditya.gupta70@gmail.com,9222196937,Pune
71,Krishna,Joshi,krishna.joshi71@gmail.com,9074821759,Chennai
72,Pooja,Singh,pooja.singh72@gmail.com,9671369594,Ahmedabad
73,Aarav,Jain,aarav.jain73@gmail.com,9097439533,Pune
74,Neha,Verma,neha.verma74@gmail.com,9470952145,Pune
75,Krishna,Patel,krishna.patel75@gmail.com,9588424745,Hyderabad
76,Vivaan,Patel,vivaan.patel76@gmail.com,9685160481,Ahmedabad
77,Sneha,Jain,sneha.jain77@gmail.com,9137098593,Hyderabad
78,Pooja,Singh,pooja.singh78@gmail.com,9004711382,Bengaluru
79,Neha,Kapoor,neha.kapoor79@gmail.com,9261796405,Hyderabad
80,Krishna,Mehta,krishna.mehta80@gmail.com,9850643171,Delhi
81,Aarav,Mehta,aarav.mehta81@gmail.com,9931839335,Delhi
82,Arjun,Patel,arjun.patel82@gmail.com,,Ahmedabad
83,Aarav,Patel,aarav.patel83@gmail.com,9177589178,Delhi
84,Pooja,Kapoor,pooja.kapoor84@gmail.com,9007661771,Bengaluru
85,Sneha,Patel,sneha.patel85@gmail.com,9985698478,Mumbai
86,Kavya,Verma,kavya.verma86@gmail.com,9836736576,Mumbai
87,Rohan,Jain,rohan.jain87@gmail.com,9271111615,Delhi
88,Sneha,Kapoor,sneha.kapoor88@gmail.com,9656049451,Jaipur
89,Aditya,Joshi,aditya.joshi89@gmail.com,9851493689,Delhi
90,Sneha,Singh,invalid_email,9455022961,Delhi
91,Vivaan,Kapoor,vivaan.kapoor91@gmail.com,9525459910,Delhi
92,Neha,Verma,neha.verma92@gmail.com,9797643815,Ahmedabad
93,Neha,Agarwal,neha.agarwal93@gmail.com,9036900343,Ahmedabad
94,Arjun,Mehta,arjun.mehta94@gmail.com,9622683885,Delhi
95,Rahul,Sharma,rahul.sharma95@gmail.com,,Bengaluru
96,Aditya,Agarwal,aditya.agarwal96@gmail.com,9516136968,Ahmedabad
97,Pooja,Mehta,pooja.mehta97@gmail.com,9181883552,Pune
98,Arjun,Gupta,arjun.gupta98@gmail.com,9127799799,Bengaluru
